Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
53,"[48, 51]",62.13575233044714,0,3,"{2: 145, 0: 145, 1: 145, 3: 145}","{0: 0.2252153379378264, 1: 0.2252153379378264, 2: 0.20195557181487664, 3: 0.2252153379378264}",{}
54,"[49, 52]",62.6908744719462,0,0,"{1: 146, 0: 146, 2: 146, 3: 146}","{0: 0.7719509342136535, 1: 0.7719509342136535, 2: 0.7950607613997969, 3: 0.7719509342136535}",{}
55,"[53, 52]",64.38176925706814,0,2,"{3: 135, 0: 135, 1: 135, 2: 135}","{0: 0.006884498203353596, 1: 0.006884498203353596, 2: 0.0066160821030033104, 3: 0.006884498203353596}",{}
56,"[53, 54]",64.73964858486833,0,1,"{3: 143, 0: 143, 1: 143, 2: 143}","{0: 0.5126074395653691, 1: 0.5126074395653691, 2: 0.49849092809124207, 3: 0.5126074395653691}",{}
57,[54],65.44825047286166,0,1,"{3: 144, 0: 144, 1: 144, 2: 144}","{0: 0.48050806223127757, 1: 0.48050806223127757, 2: 0.49489298980575486, 3: 0.48050806223127757}",{}
58,"[57, 56]",68.01398620110938,0,3,"{3: 139, 2: 138, 0: 138, 1: 138}","{0: 0.8695725243395207, 1: 0.8074975650031458, 2: 0.8698075496367119, 3: 0.9143263792794272}",{}
59,[57],68.7570653406406,0,0,"{1: 1, 0: 1, 2: 1, 3: 1}","{0: 1.2358960878943819e-30, 1: 1.1476708999397609e-30, 2: 1.272895000319255e-30, 3: 7.881886149413523e-31}",{}
60,[58],69.1190771756077,0,3,"{0: 136, 1: 136, 2: 136, 3: 136}","{0: 0.8695725243395207, 1: 0.8074975650031458, 2: 0.8698075496367119, 3: 0.9143263792794272}",{}
61,"[56, 57]",69.42363632861418,0,1,"{1: 135, 0: 134, 3: 134, 2: 134}","{0: 0.11768384387626532, 1: 0.18017706099861908, 2: 0.11771565109142847, 3: 0.07505247958494615}",{}
62,"[57, 56]",69.91079449514362,0,2,"{2: 128, 3: 128, 0: 128, 1: 128}","{0: 0.0058591335808606485, 1: 0.0054408757948817684, 2: 0.005860717168856566, 3: 0.0037366429322734265}",{}
63,[58],70.03233425197604,0,2,"{2: 1, 3: 1, 0: 1, 1: 1}","{0: 6.943453341531383e-30, 1: 6.447790735175516e-30, 2: 6.945329996024768e-30, 3: 7.300808587851902e-30}",{}
64,[58],70.19624210958781,0,2,"{2: 1, 3: 1, 0: 1, 1: 1}","{0: 6.943453341531383e-30, 1: 6.447790735175516e-30, 2: 6.945329996024768e-30, 3: 7.300808587851902e-30}",{}
65,"[61, 55]",70.79929558110587,0,1,"{2: 134, 0: 134, 1: 134, 3: 134}","{0: 0.12456834207961892, 1: 0.18706155920197268, 2: 0.12433173319443178, 3: 0.08193697778829975}",{}
66,[60],71.44949896003396,0,0,"{3: 128, 0: 128, 1: 128, 2: 128}","{0: 0.03428239457609358, 1: 0.03183512515382091, 2: 0.034291660312703406, 3: 0.036046789460829017}",{}
67,[60],71.62548748910253,0,3,"{3: 133, 0: 133, 1: 133, 2: 133}","{0: 0.41764506488171355, 1: 0.38783121992466246, 2: 0.4177579446620042, 3: 0.43913979490929905}",{}
68,"[60, 65]",72.84759955614165,0,2,"{3: 133, 0: 133, 1: 133, 2: 133}","{0: 0.5422134069613325, 1: 0.5748927791266352, 2: 0.542089677856436, 3: 0.5210767726975988}",{}
69,"[67, 68]",75.12636767981662,0,3,"{2: 132, 0: 132, 1: 132, 3: 132}","{0: 0.9598584718430461, 1: 0.9627239990512977, 2: 0.9598476225184402, 3: 0.9602165676068979}",{}
70,"[69, 62]",79.27859873533289,0,2,"{2: 127, 0: 127, 1: 127, 3: 127}","{0: 0.6983002521868922, 1: 0.7809270063999904, 2: 0.7790298907750465, 3: 0.7772030063865772}",{}
71,"[69, 66]",79.91366410977189,0,0,"{0: 2, 1: 2, 3: 2, 2: 2}","{0: 9.310228989591442e-28, 1: 1.0880806525529007e-27, 2: 1.098381793064946e-27, 3: 1.1080556351277488e-27}",{}
72,[69],80.02448518011411,0,3,"{0: 119, 1: 119, 2: 119, 3: 119}","{0: 0.012682501480099227, 1: 0.01420352393138492, 2: 0.014161087383671998, 3: 0.014166530605611453}",{}
73,"[69, 66]",80.36879680664532,0,0,"{0: 125, 1: 124, 2: 124, 3: 124}","{0: 0.28901724633300885, 1: 0.204869469668625, 2: 0.2068090218412817, 3: 0.20863046300781146}",{}
74,[69],80.77826965634848,0,1,"{0: 1, 1: 1, 3: 1, 2: 1}","{0: 4.977115627691397e-28, 1: 5.574025048458465e-28, 2: 5.557371267251447e-28, 3: 5.559507403014755e-28}",{}
75,[70],81.36987434651383,0,2,"{1: 121, 0: 121, 2: 121, 3: 121}","{0: 0.12738778927930453, 1: 0.21002361908742867, 2: 0.20951340611475303, 3: 0.20902208123063948}",{}
76,"[70, 73]",81.48885292080264,0,0,"{0: 124, 1: 123, 2: 123, 3: 123}","{0: 0.8599297092405965, 1: 0.7757728569811867, 2: 0.7763255065015752, 3: 0.7768113881637493}",{}
77,[76],82.97085748999554,0,0,"{0: 121, 3: 120, 1: 120, 2: 120}","{0: 0.8599297092405965, 1: 0.7757728569811867, 2: 0.7763255065015752, 3: 0.7768113881637493}",{}
